Name,Link,Iframe,Folder
German Rap,https://open.spotify.com/playlist/7q3Uh0UGNdpRQeB13t9lxR?si=6d61b6b2c03e4424,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/7q3Uh0UGNdpRQeB13t9lxR?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
Oriental Rap,https://open.spotify.com/playlist/4J6UD4v9w16IdNRSsIlGLw?si=08fbf1272d6a480e,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/4J6UD4v9w16IdNRSsIlGLw?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
French Rap,https://open.spotify.com/playlist/1bB5nlwDAKEVamHVlkQ4OI?si=9c1736c6a45242ac,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/1bB5nlwDAKEVamHVlkQ4OI?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
Cartoons,https://open.spotify.com/playlist/1IuBoQspWYfQNMl9eRx0X2?si=8853648f6faf48ae,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/1IuBoQspWYfQNMl9eRx0X2?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tv
Disney,https://open.spotify.com/playlist/3FeGY9YS5SrhVNdForb57V?si=93ccfe468430415a,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/3FeGY9YS5SrhVNdForb57V?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tv
Infantil,https://open.spotify.com/playlist/5KueQKSzDerLekNYvQIBh4?si=5d72204595c2450e,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/5KueQKSzDerLekNYvQIBh4?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tv
Cartoons 2,https://open.spotify.com/playlist/27K1NxnJPVRT4ElHsgfzjo?si=cc349143311149ec,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/27K1NxnJPVRT4ElHsgfzjo?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tv
voces femeninas,https://open.spotify.com/playlist/2breSa8LsGTxT59hpGT9Ty?si=ef0392fdc7324122,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2breSa8LsGTxT59hpGT9Ty?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
jewels,https://open.spotify.com/playlist/2DtXj0ZWNEmGCt2Lfoiqun?si=e03f858745b94a4b,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2DtXj0ZWNEmGCt2Lfoiqun?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
joyitas,https://open.spotify.com/playlist/7jaFXGnjWcKFqrQxgu6rrC?si=acc26d64807540cd,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/7jaFXGnjWcKFqrQxgu6rrC?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
l songs,https://open.spotify.com/playlist/2K1LnL41JY75OWTS3GHrgl?si=8c5fd9bf3e3348d4,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2K1LnL41JY75OWTS3GHrgl?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
fav 100 songs of 2022,https://open.spotify.com/playlist/66JgjUZFNyeneYJ97TiFnW?si=8be62feaf5444560,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/66JgjUZFNyeneYJ97TiFnW?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
fav * songs of 2023,https://open.spotify.com/playlist/1Q1XUsTtUYLR57KnjcZy5g?si=f72a372ce11c4cf8,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/1Q1XUsTtUYLR57KnjcZy5g?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
best discoveries of 2021,https://open.spotify.com/playlist/7mCHTNwDayKiMbWD3MAU8o?si=8ff98bd4546f46e9,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/7mCHTNwDayKiMbWD3MAU8o?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
best discoveries of 2022,https://open.spotify.com/playlist/1roew6HGkis9xGFEMzLLht?si=b72fa324d8da42bc,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/1roew6HGkis9xGFEMzLLht?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
best discoveries of 2023,https://open.spotify.com/playlist/42UfMIHAQMjjzibL05u70b?si=7b45ae963f134e88,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/42UfMIHAQMjjzibL05u70b?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
best female albums,https://open.spotify.com/playlist/2j9BpLjniSXFFsn0rCYBnT?si=6f26a1f1dbe8427b,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2j9BpLjniSXFFsn0rCYBnT?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
